name,projection,team,salary
Lance Stephenson SG,5.4,LAC,"$3,500"
Louis Amundson PF,5.3,NY,"$3,500"
Rondae Hollis-Jefferson SF,5.1,BKN,"$4,000"
Luc Richard Mbah a Moute SF,5.0,LAC,"$3,500"
Josh Richardson SG,4.9,MIA,"$3,500"
Mike Miller SF,4.9,DEN,"$3,500"
Andre Miller PG,4.8,MIN,"$3,500"
Sonny Weems SF,4.6,PHO,"$3,500"
John Jenkins SG,4.5,DAL,"$3,500"
Troy Daniels SG,4.5,CHA,"$3,500"
Norman Powell SG,4.4,TOR,"$3,500"
Udonis Haslem PF,4.1,MIA,"$3,500"
Jared Cunningham SG,4.0,CLE,"$3,500"
Ryan Hollins PF,3.9,MEM,"$3,500"
Vince Carter SF,3.9,MEM,"$3,500"
Andrea Bargnani C,3.8,BKN,"$3,500"
Tibor Pleiss C,3.7,UTA,"$3,500"
DeJuan Blair C,3.6,WAS,"$3,500"
Russ Smith PG,3.6,MEM,"$3,500"
Cory Jefferson PF,3.4,PHO,"$3,500"
Sasha Kaun C,3.4,CLE,"$3,500"
Jeremy Evans PF,3.3,DAL,"$3,500"
Anthony Bennett PF,3.2,TOR,"$3,500"
Chris Andersen C,3.0,MIA,"$3,500"
Dante Cunningham PF,3.0,NO,"$3,500"
Joel Anthony C,3.0,DET,"$3,500"
Lucas Nogueira C,2.8,TOR,"$3,500"
James Young SF,2.8,BOS,"$3,500"
James Ennis SF,2.8,MEM,"$3,500"
Toney Douglas PG,2.7,NO,"$3,500"
Rasual Butler SF,2.5,SA,"$3,500"
Nick Collison PF,2.3,OKC,"$3,500"
Luis Montero SF,2.3,POR,"$3,500"
Glenn Robinson III SF,2.3,IND,"$3,500"
Sasha Vujacic SG,2.1,NY,"$3,500"
Steve Novak SF,2.1,OKC,"$3,500"
Aaron Harrison PG,1.9,CHA,"$3,500"
Bryce Cotton PG,1.9,PHO,"$3,500"
Markel Brown SG,1.8,BKN,"$3,500"
Darrun Hilliard SG,1.8,DET,"$3,500"
Matt Bonner C,1.7,SA,"$3,500"
Terry Rozier PG,1.7,BOS,"$3,500"
Shayne Whittington C,1.6,IND,"$3,500"
Justin Anderson SF,1.4,DAL,"$3,500"
Delon Wright PG,1.2,TOR,"$3,500"
Luke Babbitt SF,1.0,NO,"$3,500"
Sergey Karasev SF,1.0,BKN,"$3,500"
Spencer Dinwiddie PG,0.9,DET,"$3,500"
Damjan Rudez SF,0.9,MIN,"$3,500"
Pat Connaughton SG,0.9,POR,"$3,500"
Chris Kaman C,0.8,POR,"$3,500"
Drew Gooden PF,0.6,WAS,"$3,500"
Reggie Bullock SF,0.5,DET,"$3,500"
Jordan Mickey PF,0.4,BOS,"$3,500"
Jarell Martin PF,0.4,MEM,"$3,500"
Mitch McGary PF,0.2,OKC,"$3,500"
Jarnell Stokes PF,0.0,MIA,"$3,500"
C.J. Watson PG,0.0,ORL,"$3,600"
Rakeem Christmas PF,0.0,IND,"$3,500"
Roy Devyn Marble SG,0.0,ORL,"$3,500"
Joseph Young SG,0.0,IND,"$3,500"
Brad Beal SG,0.0,WAS,"$7,200"
Nene Hilario PF,0.0,WAS,"$4,100"
Joe Harris SG,0.0,CLE,"$3,500"
Jarell Eddie SG,0.0,WAS,"$3,500"
Alan Anderson SG,0.0,WAS,"$3,500"
Martell Webster SF,0.0,WAS,"$3,500"
Bruno Caboclo SF,0.0,TOR,"$3,500"
