"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16448","PF","Frank","Kaminsky","14.6","31","4100","OKC@CHA","CHA","OKC","","","",""
"16220","SG","Dion","Waiters","16.9","33","4000","OKC@CHA","OKC","CHA","","","",""
"9491","PF","J.J.","Hickson","16.8","17","4000","DEN@GS","DEN","GS","","","",""
"14527","PG","Norris","Cole","14.7","15","4000","NO@DAL","NO","DAL","","","",""
"9611","PF","Ryan","Hollins","4.3","6","4000","MEM@UTA","MEM","UTA","","","",""
"9615","SG","Courtney","Lee","17","34","4000","MEM@UTA","MEM","UTA","","","",""
"55057","C","Jusuf","Nurkic","0","25","4000","DEN@GS","DEN","GS","GTD","Knee","",""
"9459","SF","Paul","Pierce","9.9","32","3900","PHI@LAC","LAC","PHI","","","",""
"12357","SF","Quincy","Pondexter","0","25","3900","NO@DAL","NO","DAL","O","Knee","",""
"12354","C","Cole","Aldrich","10.2","12","3900","PHI@LAC","LAC","PHI","","","",""
"14549","PF","Lavoy","Allen","14.8","31","3900","DET@IND","IND","DET","","","",""
"63826","C","Boban","Marjanovic","9.7","18","3900","HOU@SA","SA","HOU","","","",""
"23169","C","Steven","Adams","16.7","33","3900","OKC@CHA","OKC","CHA","","","",""
"9643","PG","Shaun","Livingston","13.6","30","3900","DEN@GS","GS","DEN","","","",""
"9694","SG","Kevin","Martin","16.9","26","3900","MIL@MIN","MIN","MIL","","","",""
"58350","SF","Stanley","Johnson","14.8","33","3800","DET@IND","DET","IND","","","",""
"9964","PG","Ty","Lawson","15.4","31","3800","HOU@SA","HOU","SA","","","",""
"9448","SG","Jamal","Crawford","17","34","3800","PHI@LAC","LAC","PHI","","","",""
"9939","PG","Patrick","Mills","15.7","34","3800","HOU@SA","SA","HOU","","","",""
"14519","PF","Donatas","Motiejunas","9","14","3800","HOU@SA","HOU","SA","","","",""
"9629","PF","David","West","14.1","34","3800","HOU@SA","SA","HOU","","","",""
"15952","PF","John","Henson","15.9","29","3800","MIL@MIN","MIL","MIN","","","",""
"9678","PF","Channing","Frye","13","28","3800","ORL@CLE","ORL","CLE","","","",""
"9700","C","Spencer","Hawes","13.1","27","3800","OKC@CHA","CHA","OKC","GTD","Back","",""
